,0
64,https://www.wineenthusiast.com/buying-guide/boizel-nv-la-cote-premier-cru-blanc-de-blancs-brut-chardonnay-champagne/?queryID=8952eb65fa2d9e2870c829d8bbb6a80e&objectID=wine#434826&indexName=PROD_WINEENTHUSIAST_REVIEWS
65,https://www.wineenthusiast.com/buying-guide/quinta-do-monte-doiro-2022-rose-rose-lisboa/?queryID=8952eb65fa2d9e2870c829d8bbb6a80e&objectID=wine#434825&indexName=PROD_WINEENTHUSIAST_REVIEWS
66,https://www.wineenthusiast.com/buying-guide/boizel-nv-ultime-zero-champagne/?queryID=8952eb65fa2d9e2870c829d8bbb6a80e&objectID=wine#434824&indexName=PROD_WINEENTHUSIAST_REVIEWS
67,https://www.wineenthusiast.com/buying-guide/quinta-do-monte-doiro-2020-tinto-red-lisboa/?queryID=8952eb65fa2d9e2870c829d8bbb6a80e&objectID=wine#434823&indexName=PROD_WINEENTHUSIAST_REVIEWS
68,https://www.wineenthusiast.com/buying-guide/boizel-nv-brut-reserve-champagne/?queryID=8952eb65fa2d9e2870c829d8bbb6a80e&objectID=wine#434822&indexName=PROD_WINEENTHUSIAST_REVIEWS
69,https://www.wineenthusiast.com/buying-guide/quinta-do-monte-doiro-2022-branco-white-lisboa/?queryID=8952eb65fa2d9e2870c829d8bbb6a80e&objectID=wine#434821&indexName=PROD_WINEENTHUSIAST_REVIEWS
70,https://www.wineenthusiast.com/buying-guide/boizel-nv-rose-absolu-champagne/?queryID=8952eb65fa2d9e2870c829d8bbb6a80e&objectID=wine#434820&indexName=PROD_WINEENTHUSIAST_REVIEWS
71,https://www.wineenthusiast.com/buying-guide/quinta-do-monte-doiro-2020-reserva-viognier-lisboa/?queryID=8952eb65fa2d9e2870c829d8bbb6a80e&objectID=wine#434819&indexName=PROD_WINEENTHUSIAST_REVIEWS
72,https://www.wineenthusiast.com/buying-guide/encostas-de-estremoz-2020-d-joana-grande-escolha-white-alentejano/?queryID=8952eb65fa2d9e2870c829d8bbb6a80e&objectID=wine#434818&indexName=PROD_WINEENTHUSIAST_REVIEWS
73,https://www.wineenthusiast.com/buying-guide/cristom-2021-chardonnay-eola-amity-hills/?queryID=8952eb65fa2d9e2870c829d8bbb6a80e&objectID=wine#434817&indexName=PROD_WINEENTHUSIAST_REVIEWS
74,https://www.wineenthusiast.com/buying-guide/encostas-de-estremoz-2021-argila-amarela-red-alentejano/?queryID=8952eb65fa2d9e2870c829d8bbb6a80e&objectID=wine#434816&indexName=PROD_WINEENTHUSIAST_REVIEWS
75,https://www.wineenthusiast.com/buying-guide/casa-s-2022-pinot-noir-block-three-rose-willamette-valley/?queryID=8952eb65fa2d9e2870c829d8bbb6a80e&objectID=wine#434815&indexName=PROD_WINEENTHUSIAST_REVIEWS
76,https://www.wineenthusiast.com/buying-guide/h-blin-2015-vintage-brut-champagne/?queryID=8952eb65fa2d9e2870c829d8bbb6a80e&objectID=wine#434814&indexName=PROD_WINEENTHUSIAST_REVIEWS
77,https://www.wineenthusiast.com/buying-guide/succession-2022-syrah-grenache-rose-columbia-valley-wa/?queryID=8952eb65fa2d9e2870c829d8bbb6a80e&objectID=wine#434813&indexName=PROD_WINEENTHUSIAST_REVIEWS
78,https://www.wineenthusiast.com/buying-guide/h-blin-2015-blanc-de-noirs-brut-meunier-champagne/?queryID=8952eb65fa2d9e2870c829d8bbb6a80e&objectID=wine#434812&indexName=PROD_WINEENTHUSIAST_REVIEWS
79,https://www.wineenthusiast.com/buying-guide/h-blin-2015-rose-de-saignee-brut-meunier-champagne/?queryID=8952eb65fa2d9e2870c829d8bbb6a80e&objectID=wine#434811&indexName=PROD_WINEENTHUSIAST_REVIEWS
80,https://www.wineenthusiast.com/buying-guide/succession-2022-antoine-creek-vineyards-viognier-columbia-valley-wa/?queryID=8952eb65fa2d9e2870c829d8bbb6a80e&objectID=wine#434810&indexName=PROD_WINEENTHUSIAST_REVIEWS
81,https://www.wineenthusiast.com/buying-guide/alta-cellars-2022-rosebud-vineyards-sauvignon-blanc-wahluke-slope/?queryID=8952eb65fa2d9e2870c829d8bbb6a80e&objectID=wine#434809&indexName=PROD_WINEENTHUSIAST_REVIEWS
82,https://www.wineenthusiast.com/buying-guide/alta-2022-native-river-vineyard-albarino-columbia-valley-wa/?queryID=8952eb65fa2d9e2870c829d8bbb6a80e&objectID=wine#434808&indexName=PROD_WINEENTHUSIAST_REVIEWS
83,https://www.wineenthusiast.com/buying-guide/chateau-de-bligny-nv-clos-du-chateau-de-bligny-6-cepages-brut-nature-champagne/?queryID=8952eb65fa2d9e2870c829d8bbb6a80e&objectID=wine#434807&indexName=PROD_WINEENTHUSIAST_REVIEWS
